name,type,country,length,release_time,score,score_num,box_office
复仇者联盟3：无限战争,"动作,冒险,科幻",美国,149分钟,2018-05-11,9.0,167100000,239100000000
遇见你真好,"剧情,喜剧,爱情",中国大陆,99分钟,2018-03-29,8.1,58047,510100000
孟买酒店,剧情,澳大利亚,125分钟,2018-09-07,7.9,55,96500000
后来的我们,"剧情,爱情","中国大陆,中国台湾",119分钟,2018-04-28,8.3,133400000,136200000000
蜘蛛侠2：另一个世界,科幻,英国,90分钟,2018-12-20,0.0,0,0
蜘蛛侠：平行宇宙,"动画,动作,科幻",美国,116分钟,2018-12-21,8.8,21600000,42700000000
我不是药神,"剧情,喜剧",中国大陆,116分钟,2018-07-05,9.6,256400000,310000000000
龙猫,"动画,冒险,奇幻,家庭",日本,86分钟,2018-12-14,9.1,11300000,17400000000
海王,"动作,冒险,奇幻",美国,137分钟,2018-12-07,9.3,113700000,201200000000
红海行动,"剧情,动作","中国大陆,中国香港",138分钟,2018-02-16,9.4,25800000,365100000000
恐怖快递,"恐怖,惊悚",中国大陆,83分钟,2018-11-23,3.2,6620,22700000
毒液：致命守护者,"动作,惊悚,科幻",美国,107分钟,2018-11-09,9.2,116100000,187100000000
无名之辈,"剧情,喜剧,犯罪",中国大陆,108分钟,2018-11-16,9.0,44500000,79500000000
悲伤逆流成河,"剧情,爱情,家庭",中国大陆,105分钟,2018-09-21,9.0,42500000,35700000000
唐人街探案2,"喜剧,动作,悬疑",中国大陆,121分钟,2018-02-16,9.0,237200000,339800000000
西虹市首富,喜剧,中国大陆,118分钟,2018-07-27,9.2,158700000,254800000000
名侦探柯南：零的执行人,"动画,动作,悬疑",日本,110分钟,2018-11-09,8.4,13100000,12700000000
一出好戏,"剧情,喜剧",中国大陆,134分钟,2018-08-10,8.2,96300000,135500000000
快把我哥带走,"喜剧,奇幻",中国大陆,115分钟,2018-08-17,8.9,39400000,37500000000
侏罗纪世界2,"动作,冒险,科幻",美国,128分钟,2018-06-15,8.6,97500000,169600000000
无双,"动作,惊悚,犯罪","中国大陆,中国香港",130分钟,2018-09-30,8.9,60700000,127400000000
头号玩家,"动作,冒险,科幻",美国,140分钟,2018-03-30,9.0,95400000,139700000000
反贪风暴3,"剧情,动作,犯罪","中国大陆,中国香港",97分钟,2018-09-14,8.8,23600000,44300000000
冰海陷落,"动作,惊悚","英国,中国大陆,美国",122分钟,2018-10-19,0.0,0,0
新哥斯拉,"剧情,科幻,灾难",日本,120分钟,2018大陆上映,7.0,4438,19200000
动物世界,"动作,悬疑,冒险","中国大陆,美国",132分钟,2018-06-29,8.5,51900000,51000000000
环太平洋：雷霆再起,"动作,冒险,科幻",美国,111分钟,2018-03-23,8.1,4900000,63300000000
特别追踪,犯罪,中国大陆,87分钟,2018-09-19,6.0,79,26200000
鬼照片,"恐怖,惊悚",俄罗斯,80分钟,2018-06-14,0.0,0,0
魔女,"动作,悬疑",韩国,125分钟,2018-06-27,0.0,0,0
哆啦A梦：大雄的金银岛,"动画,冒险",日本,109分钟,2018-06-01,8.2,13600000,20900000000
